parcelle_id,date,culture,rendement_estime,rendement_final,progression
P001,2022-10-31,Ble,0.0,4.516239424041426,0.0
P001,2022-11-30,Ble,0.72,4.620090562158118,12.5
P001,2022-12-31,Ble,1.64,4.723941700274809,25.4
P001,2023-01-31,Ble,2.2,4.827792838391501,38.3
P001,2023-02-28,Ble,3.11,4.931643976508193,50.0
P001,2023-03-31,Ble,3.8,5.035495114624884,62.9
P001,2023-04-30,Ble,0.0,5.139346252741576,0.0
P001,2023-05-31,Ble,0.74,5.243197390858267,12.9
P001,2023-06-30,Ble,1.51,5.347048528974959,25.4
P001,2023-07-31,Ble,2.23,5.450899667091651,38.3
P001,2023-08-31,Ble,2.62,5.554750805208342,51.2
P001,2023-09-30,Ble,3.53,5.658601943325033,63.7
P001,2023-10-31,Ble,4.15,5.762453081441725,76.7
P001,2023-11-30,Ble,5.15,5.866304219558417,89.2
P001,2023-12-31,Ble,6.33,5.970155357675108,100.0
P001,2024-01-31,Ble,6.21,5.970155357675108,100.0
P001,2024-02-29,Ble,6.58,5.970155357675108,100.0
P001,2024-03-31,Ble,7.26,5.970155357675108,100.0
P001,2024-04-30,Mais,0.0,5.859969889699119,0.0
P001,2024-05-31,Mais,1.36,5.749784421723131,17.2
P001,2024-06-30,Mais,2.76,5.639598953747142,33.9
P001,2024-07-31,Mais,3.87,5.529413485771154,51.1
P001,2024-08-31,Mais,4.75,5.419228017795165,68.3
P001,2024-09-30,Mais,5.86,5.309042549819177,85.0
P001,2024-10-31,Mais,0.0,5.198857081843188,0.0
P001,2024-11-30,Mais,1.18,5.0886716138671995,16.7
P001,2024-12-31,Mais,2.56,4.97848614589121,33.9
P002,2020-01-31,Mais,0.0,4.868300677915222,0.0
P002,2020-02-29,Mais,1.49,4.758115209939233,16.1
P002,2020-03-31,Mais,3.14,4.647929741963244,33.3
P002,2020-04-30,Tournesol,0.0,4.537744273987256,0.0
P002,2020-05-31,Tournesol,0.83,4.427558806011268,20.7
P002,2020-06-30,Tournesol,1.6,4.317373338035279,40.7
P002,2020-07-31,Tournesol,2.39,4.20718787005929,61.3
P002,2020-08-31,Tournesol,2.93,4.097002402083302,82.0
P002,2020-09-30,Tournesol,3.44,3.986816934107313,100.0
P002,2020-10-31,Ble,0.0,3.93552006899956,0.0
P002,2020-11-30,Ble,0.64,3.884223203891807,12.5
P002,2020-12-31,Ble,1.38,3.832926338784054,25.4
P002,2021-01-31,Ble,2.1,3.7816294736763014,38.3
P002,2021-02-28,Ble,2.93,3.7303326085685486,50.0
P002,2021-03-31,Mais,0.0,3.6790357434607954,0.0
P002,2021-04-30,Mais,0.0,3.6277388783530427,0.0
P002,2021-05-31,Mais,2.15,3.57644201324529,17.2
P002,2021-06-30,Mais,3.96,3.525145148137537,33.9
P002,2021-07-31,Mais,5.84,3.473848283029784,51.1
P002,2021-08-31,Mais,7.78,3.422551417922031,68.3
P002,2021-09-30,Mais,9.62,3.3712545528142783,85.0
P002,2021-10-31,Tournesol,0.0,3.319957687706525,0.0
P002,2021-11-30,Tournesol,0.55,3.2686608225987723,20.0
P002,2021-12-31,Tournesol,1.19,3.2173639574910196,40.7
P002,2022-01-31,Tournesol,1.91,3.1660670923832663,61.3
P002,2022-02-28,Tournesol,2.55,3.1147702272755136,80.0
P002,2022-03-31,Tournesol,3.37,3.063473362167761,100.0
P002,2022-04-30,Tournesol,3.24,3.063473362167761,100.0
P002,2022-05-31,Tournesol,3.38,3.063473362167761,100.0
P002,2022-06-30,Tournesol,3.0,3.063473362167761,100.0
P002,2022-07-31,Tournesol,3.1,3.063473362167761,100.0
P002,2022-08-31,Tournesol,2.85,3.063473362167761,100.0
P002,2022-09-30,Tournesol,2.7,3.063473362167761,100.0
P002,2022-10-31,Mais,0.0,3.8490360354319755,0.0
P002,2022-11-30,Mais,1.43,4.63459870869619,16.7
P002,2022-12-31,Mais,3.1,5.420161381960405,33.9
P002,2023-01-31,Mais,4.68,6.20572405522462,51.1
P002,2023-02-28,Mais,6.01,6.991286728488834,66.7
P002,2023-03-31,Mais,8.74,7.776849401753049,83.9
P002,2023-04-30,Mais,9.44,8.562412075017264,100.0
P002,2023-05-31,Mais,9.14,8.562412075017264,100.0
P002,2023-06-30,Mais,8.91,8.562412075017264,100.0
P002,2023-07-31,Mais,7.74,8.562412075017264,100.0
P002,2023-08-31,Mais,8.79,8.562412075017264,100.0
P002,2023-09-30,Mais,7.94,8.562412075017264,100.0
P002,2023-10-31,Ble,0.0,8.17322173087728,0.0
P002,2023-11-30,Ble,0.56,7.784031386737299,12.5
P002,2023-12-31,Ble,1.26,7.394841042597316,25.4
P002,2024-01-31,Ble,2.0,7.005650698457334,38.3
P002,2024-02-29,Ble,2.67,6.6164603543173515,50.4
P002,2024-03-31,Tournesol,0.0,6.227270010177369,0.0
P002,2024-04-30,Tournesol,0.0,5.838079666037386,0.0
P002,2024-05-31,Tournesol,0.86,5.448889321897404,20.7
P002,2024-06-30,Tournesol,1.58,5.059698977757421,40.7
P002,2024-07-31,Tournesol,2.22,4.670508633617439,61.3
P002,2024-08-31,Tournesol,3.06,4.281318289477456,82.0
P002,2024-09-30,Tournesol,3.11,3.8921279453374735,100.0
P002,2024-10-31,Ble,0.0,4.273851087675312,0.0
P002,2024-11-30,Ble,0.81,4.65557423001315,12.5
P002,2024-12-31,Ble,1.62,5.037297372350989,25.4
P003,2020-01-31,Mais,0.0,5.419020514688827,0.0
P003,2020-02-29,Mais,1.84,5.800743657026666,16.1
P003,2020-03-31,Mais,0.0,6.182466799364505,0.0
P003,2020-04-30,Mais,1.55,6.5641899417023435,16.7
P003,2020-05-31,Mais,2.97,6.945913084040182,33.9
P003,2020-06-30,Mais,4.7,7.32763622637802,50.6
P003,2020-07-31,Mais,5.31,7.709359368715859,67.8
P003,2020-08-31,Mais,6.42,8.091082511053697,85.0
P003,2020-09-30,Mais,7.44,8.472805653391536,100.0
P003,2020-10-31,Ble,0.0,8.429922987826304,0.0
P003,2020-11-30,Ble,0.64,8.38704032226107,12.5
P003,2020-12-31,Ble,1.17,8.344157656695838,25.4
P003,2021-01-31,Ble,2.14,8.301274991130606,38.3
P003,2021-02-28,Ble,2.67,8.258392325565373,50.0
P003,2021-03-31,Ble,3.48,8.21550966000014,62.9
P003,2021-04-30,Ble,0.0,8.172626994434909,0.0
P003,2021-05-31,Ble,0.71,8.129744328869675,12.9
P003,2021-06-30,Ble,1.29,8.086861663304443,25.4
P003,2021-07-31,Ble,1.96,8.043978997739211,38.3
P003,2021-08-31,Ble,2.32,8.001096332173978,51.2
P003,2021-09-30,Ble,2.93,7.958213666608746,63.7
P003,2021-10-31,Mais,0.0,7.915331001043513,0.0
P003,2021-11-30,Mais,1.34,7.872448335478281,16.7
P003,2021-12-31,Mais,3.07,7.829565669913048,33.9
P003,2022-01-31,Mais,4.94,7.7866830043478155,51.1
P003,2022-02-28,Mais,7.01,7.743800338782584,66.7
P003,2022-03-31,Mais,0.0,7.700917673217351,0.0
P003,2022-04-30,Mais,1.48,7.658035007652118,16.7
P003,2022-05-31,Mais,2.68,7.615152342086886,33.9
P003,2022-06-30,Mais,3.62,7.572269676521653,50.6
P003,2022-07-31,Mais,4.58,7.5293870109564205,67.8
P003,2022-08-31,Mais,5.91,7.486504345391189,85.0
P003,2022-09-30,Mais,7.24,7.443621679825956,100.0
P003,2022-10-31,Mais,0.0,7.8897162125997475,0.0
P003,2022-11-30,Mais,1.75,8.33581074537354,16.7
P003,2022-12-31,Mais,3.43,8.781905278147331,33.9
P003,2023-01-31,Mais,5.61,9.227999810921125,51.1
P003,2023-02-28,Mais,7.74,9.674094343694916,66.7
P003,2023-03-31,Mais,9.93,10.120188876468708,83.9
P003,2023-04-30,Mais,12.28,10.5662834092425,100.0
P003,2023-05-31,Mais,11.07,10.5662834092425,100.0
P003,2023-06-30,Mais,11.12,10.5662834092425,100.0
P003,2023-07-31,Mais,10.15,10.5662834092425,100.0
P003,2023-08-31,Mais,9.33,10.5662834092425,100.0
P003,2023-09-30,Mais,9.83,10.5662834092425,100.0
P003,2023-10-31,Ble,0.0,10.557413494651508,0.0
P003,2023-11-30,Ble,0.58,10.548543580060516,12.5
P003,2023-12-31,Ble,1.17,10.539673665469524,25.4
P003,2024-01-31,Ble,1.95,10.530803750878531,38.3
P003,2024-02-29,Ble,2.57,10.521933836287538,50.4
P003,2024-03-31,Ble,0.0,10.513063921696546,0.0
P003,2024-04-30,Ble,0.0,10.504194007105554,0.0
P003,2024-05-31,Ble,0.85,10.495324092514561,12.9
P003,2024-06-30,Ble,1.52,10.48645417792357,25.4
P003,2024-07-31,Ble,2.3,10.477584263332577,38.3
P003,2024-08-31,Ble,2.77,10.468714348741585,51.2
P003,2024-09-30,Ble,3.6,10.459844434150593,63.7
P003,2024-10-31,Ble,0.0,10.450974519559601,0.0
P003,2024-11-30,Ble,0.83,10.442104604968607,12.5
P003,2024-12-31,Ble,1.89,10.433234690377615,25.4
P004,2020-01-31,Mais,0.0,10.424364775786623,0.0
P004,2020-02-29,Mais,1.55,10.415494861195631,16.1
P004,2020-03-31,Ble,0.0,10.406624946604639,0.0
P004,2020-04-30,Ble,1.06,10.397755032013647,12.5
P004,2020-05-31,Ble,2.19,10.388885117422655,25.4
P004,2020-06-30,Ble,3.13,10.380015202831663,37.9
P004,2020-07-31,Ble,3.9,10.37114528824067,50.8
P004,2020-08-31,Ble,4.56,10.362275373649677,63.7
P004,2020-09-30,Ble,5.79,10.353405459058685,76.2
P004,2020-10-31,Mais,0.0,10.344535544467693,0.0
P004,2020-11-30,Mais,1.82,10.3356656298767,16.7
P004,2020-12-31,Mais,4.16,10.326795715285709,33.9
P004,2021-01-31,Mais,6.48,10.317925800694717,51.1
P004,2021-02-28,Mais,8.46,10.309055886103724,66.7
P004,2021-03-31,Mais,0.0,10.300185971512732,0.0
P004,2021-04-30,Mais,0.0,10.29131605692174,0.0
P004,2021-05-31,Mais,1.96,10.282446142330748,17.2
P004,2021-06-30,Mais,3.47,10.273576227739754,33.9
P004,2021-07-31,Mais,5.46,10.264706313148762,51.1
P004,2021-08-31,Mais,6.32,10.25583639855777,68.3
P004,2021-09-30,Mais,7.73,10.246966483966778,85.0
P004,2021-10-31,Mais,9.48,10.238096569375786,100.0
P004,2021-11-30,Mais,11.03,10.238096569375786,100.0
P004,2021-12-31,Mais,10.74,10.238096569375786,100.0
P004,2022-01-31,Mais,9.31,10.238096569375786,100.0
P004,2022-02-28,Mais,10.91,10.238096569375786,100.0
P004,2022-03-31,Tournesol,0.0,8.992360783773485,0.0
P004,2022-04-30,Tournesol,0.56,7.746624998171184,20.0
P004,2022-05-31,Tournesol,1.2,6.5008892125688815,40.7
P004,2022-06-30,Tournesol,1.59,5.25515342696658,60.7
P004,2022-07-31,Tournesol,1.95,4.009417641364279,81.3
P004,2022-08-31,Tournesol,2.46,2.763681855761978,100.0
P004,2022-09-30,Tournesol,2.39,2.763681855761978,100.0
P004,2022-10-31,Mais,0.0,2.7704328336360082,0.0
P004,2022-11-30,Mais,1.66,2.777183811510039,16.7
P004,2022-12-31,Mais,3.59,2.7839347893840696,33.9
P004,2023-01-31,Mais,5.48,2.7906857672581,51.1
P004,2023-02-28,Mais,6.45,2.797436745132131,66.7
P004,2023-03-31,Tournesol,0.0,2.8041877230061614,0.0
P004,2023-04-30,Tournesol,0.0,2.810938700880192,0.0
P004,2023-05-31,Tournesol,0.64,2.8176896787542227,20.7
P004,2023-06-30,Tournesol,1.12,2.824440656628253,40.7
P004,2023-07-31,Tournesol,1.71,2.8311916345022836,61.3
P004,2023-08-31,Tournesol,2.21,2.8379426123763145,82.0
P004,2023-09-30,Tournesol,2.39,2.844693590250345,100.0
P004,2023-10-31,Tournesol,2.7,2.844693590250345,100.0
P004,2023-11-30,Tournesol,2.6,2.844693590250345,100.0
P004,2023-12-31,Tournesol,2.83,2.844693590250345,100.0
P004,2024-01-31,Tournesol,2.74,2.844693590250345,100.0
P004,2024-02-29,Tournesol,2.88,2.844693590250345,100.0
P004,2024-03-31,Tournesol,0.0,2.7157847831909536,0.0
P004,2024-04-30,Tournesol,0.44,2.586875976131562,20.0
P004,2024-05-31,Tournesol,0.88,2.4579671690721705,40.7
P004,2024-06-30,Tournesol,1.33,2.329058362012779,60.7
P004,2024-07-31,Tournesol,1.68,2.200149554953388,81.3
P004,2024-08-31,Tournesol,1.87,2.071240747893996,100.0
P004,2024-09-30,Tournesol,1.88,2.071240747893996,100.0
P004,2024-10-31,Tournesol,1.99,2.071240747893996,100.0
P004,2024-11-30,Tournesol,2.01,2.071240747893996,100.0
P004,2024-12-31,Tournesol,2.05,2.071240747893996,100.0
P005,2020-01-31,Mais,0.0,3.143081772039592,0.0
P005,2020-02-29,Mais,1.33,4.2149227961851885,16.1
P005,2020-03-31,Mais,0.0,5.286763820330784,0.0
P005,2020-04-30,Mais,2.17,6.35860484447638,16.7
P005,2020-05-31,Mais,4.16,7.430445868621976,33.9
P005,2020-06-30,Mais,5.47,8.502286892767572,50.6
P005,2020-07-31,Mais,7.54,9.574127916913168,67.8
P005,2020-08-31,Mais,9.1,10.645968941058765,85.0
P005,2020-09-30,Mais,10.7,11.71780996520436,100.0
P005,2020-10-31,Tournesol,0.0,11.298913537101969,0.0
P005,2020-11-30,Tournesol,0.58,10.880017108999578,20.0
P005,2020-12-31,Tournesol,1.1,10.461120680897187,40.7
P005,2021-01-31,Tournesol,1.75,10.042224252794796,61.3
P005,2021-02-28,Tournesol,2.53,9.623327824692403,80.0
P005,2021-03-31,Mais,0.0,9.204431396590012,0.0
P005,2021-04-30,Mais,0.0,8.785534968487621,0.0
P005,2021-05-31,Mais,2.03,8.36663854038523,17.2
P005,2021-06-30,Mais,4.15,7.947742112282839,33.9
P005,2021-07-31,Mais,5.63,7.528845684180448,51.1
P005,2021-08-31,Mais,6.62,7.109949256078056,68.3
P005,2021-09-30,Mais,8.58,6.691052827975665,85.0
P005,2021-10-31,Mais,0.0,6.272156399873274,0.0
P005,2021-11-30,Mais,1.46,5.853259971770882,16.7
P005,2021-12-31,Mais,3.3,5.434363543668491,33.9
P005,2022-01-31,Mais,4.87,5.0154671155661,51.1
P005,2022-02-28,Mais,6.32,4.596570687463709,66.7
P005,2022-03-31,Tournesol,0.0,4.177674259361318,0.0
P005,2022-04-30,Tournesol,0.47,3.758777831258926,20.0
P005,2022-05-31,Tournesol,0.88,3.339881403156536,40.7
P005,2022-06-30,Tournesol,1.23,2.920984975054143,60.7
P005,2022-07-31,Tournesol,1.71,2.502088546951752,81.3
P005,2022-08-31,Tournesol,1.89,2.08319211884936,100.0
P005,2022-09-30,Tournesol,1.92,2.08319211884936,100.0
P005,2022-10-31,Mais,0.0,2.145684361886144,0.0
P005,2022-11-30,Mais,1.15,2.208176604922927,16.7
P005,2022-12-31,Mais,2.21,2.270668847959711,33.9
P005,2023-01-31,Mais,3.75,2.333161090996495,51.1
P005,2023-02-28,Mais,5.1,2.395653334033278,66.7
P005,2023-03-31,Mais,6.96,2.458145577070062,83.9
P005,2023-04-30,Tournesol,0.0,2.520637820106846,0.0
P005,2023-05-31,Tournesol,0.62,2.583130063143629,20.7
P005,2023-06-30,Tournesol,1.07,2.645622306180413,40.7
P005,2023-07-31,Tournesol,1.63,2.7081145492171967,61.3
P005,2023-08-31,Tournesol,2.25,2.7706067922539805,82.0
P005,2023-09-30,Tournesol,2.72,2.833099035290764,100.0
P005,2023-10-31,Ble,0.0,2.861789616247157,0.0
P005,2023-11-30,Ble,0.83,2.89048019720355,12.5
P005,2023-12-31,Ble,1.98,2.9191707781599434,25.4
P005,2024-01-31,Ble,3.22,2.9478613591163367,38.3
P005,2024-02-29,Ble,4.35,2.97655194007273,50.4
P005,2024-03-31,Ble,0.0,3.005242521029123,0.0
P005,2024-04-30,Mais,0.0,3.0339331019855162,0.0
P005,2024-05-31,Mais,1.99,3.0626236829419096,17.2
P005,2024-06-30,Mais,4.27,3.091314263898303,33.9
P005,2024-07-31,Mais,5.78,3.1200048448546958,51.1
P005,2024-08-31,Mais,7.65,3.148695425811089,68.3
P005,2024-09-30,Mais,8.12,3.1773860067674824,85.0
P005,2024-10-31,Mais,0.0,3.2060765877238753,0.0
P005,2024-11-30,Mais,1.63,3.2347671686802686,16.7
P005,2024-12-31,Mais,3.13,3.263457749636662,33.9
P006,2020-01-31,Ble,0.0,3.2921483305930552,0.0
P006,2020-02-29,Ble,0.61,3.320838911549448,12.1
P006,2020-03-31,Mais,0.0,3.3495294925058414,0.0
P006,2020-04-30,Ble,0.0,3.3782200734622347,0.0
P006,2020-05-31,Ble,0.64,3.4069106544186276,12.9
P006,2020-06-30,Ble,1.31,3.435601235375021,25.4
P006,2020-07-31,Ble,1.79,3.4642918163314143,38.3
P006,2020-08-31,Ble,2.22,3.4929823972878076,51.2
P006,2020-09-30,Ble,2.75,3.5216729782442004,63.7
P006,2020-10-31,Tournesol,0.0,3.5503635592005938,0.0
P006,2020-11-30,Tournesol,0.67,3.579054140156987,20.0
P006,2020-12-31,Tournesol,1.46,3.60774472111338,40.7
P006,2021-01-31,Tournesol,2.52,3.6364353020697733,61.3
P006,2021-02-28,Tournesol,3.07,3.6651258830261666,80.0
P006,2021-03-31,Mais,0.0,3.69381646398256,0.0
P006,2021-04-30,Tournesol,0.0,3.722507044938953,0.0
P006,2021-05-31,Tournesol,0.87,3.751197625895346,20.7
P006,2021-06-30,Tournesol,1.52,3.7798882068517394,40.7
P006,2021-07-31,Tournesol,2.22,3.8085787878081323,61.3
P006,2021-08-31,Tournesol,2.83,3.8372693687645256,82.0
P006,2021-09-30,Tournesol,3.73,3.865959949720919,100.0
P006,2021-10-31,Ble,0.0,4.048845148977065,0.0
P006,2021-11-30,Ble,0.56,4.231730348233211,12.5
P006,2021-12-31,Ble,1.23,4.414615547489357,25.4
P006,2022-01-31,Ble,1.82,4.597500746745504,38.3
P006,2022-02-28,Ble,2.64,4.78038594600165,50.0
P006,2022-03-31,Ble,0.0,4.963271145257796,0.0
P006,2022-04-30,Ble,0.0,5.146156344513942,0.0
P006,2022-05-31,Ble,0.94,5.329041543770089,12.9
P006,2022-06-30,Ble,1.61,5.511926743026235,25.4
P006,2022-07-31,Ble,2.1,5.694811942282381,38.3
P006,2022-08-31,Ble,2.98,5.877697141538527,51.2
P006,2022-09-30,Ble,3.78,6.060582340794673,63.7
P006,2022-10-31,Ble,4.62,6.243467540050819,76.7
P006,2022-11-30,Ble,6.03,6.4263527393069655,89.2
P006,2022-12-31,Ble,6.23,6.609237938563112,100.0
P006,2023-01-31,Ble,6.81,6.609237938563112,100.0
P006,2023-02-28,Ble,6.58,6.609237938563112,100.0
P006,2023-03-31,Ble,7.3,6.609237938563112,100.0
P006,2023-04-30,Mais,0.0,6.376654432410271,0.0
P006,2023-05-31,Mais,1.85,6.144070926257432,17.2
P006,2023-06-30,Mais,3.09,5.911487420104591,33.9
P006,2023-07-31,Mais,4.58,5.678903913951752,51.1
P006,2023-08-31,Mais,5.73,5.446320407798911,68.3
P006,2023-09-30,Mais,7.34,5.213736901646071,85.0
P006,2023-10-31,Tournesol,0.0,4.981153395493231,0.0
P006,2023-11-30,Tournesol,0.66,4.7485698893403905,20.0
P006,2023-12-31,Tournesol,1.52,4.515986383187551,40.7
P006,2024-01-31,Tournesol,2.45,4.28340287703471,61.3
P006,2024-02-29,Tournesol,3.29,4.05081937088187,80.7
P006,2024-03-31,Tournesol,4.21,3.81823586472903,100.0
P006,2024-04-30,Tournesol,0.0,3.5406301693043103,0.0
P006,2024-05-31,Tournesol,0.47,3.2630244738795904,20.7
P006,2024-06-30,Tournesol,0.9,2.9854187784548705,40.7
P006,2024-07-31,Tournesol,1.21,2.7078130830301506,61.3
P006,2024-08-31,Tournesol,1.63,2.4302073876054306,82.0
P006,2024-09-30,Tournesol,1.73,2.1526016921807107,100.0
P006,2024-10-31,Mais,0.0,2.339712647533471,0.0
P006,2024-11-30,Mais,1.33,2.526823602886231,16.7
P006,2024-12-31,Mais,2.84,2.7139345582389915,33.9
P007,2020-01-31,Mais,0.0,2.9010455135917517,0.0
P007,2020-02-29,Mais,2.3,3.088156468944512,16.1
P007,2020-03-31,Ble,0.0,3.2752674242972724,0.0
P007,2020-04-30,Ble,0.0,3.4623783796500325,0.0
P007,2020-05-31,Ble,0.67,3.6494893350027926,12.9
P007,2020-06-30,Ble,1.18,3.8366002903555527,25.4
P007,2020-07-31,Ble,1.8,4.023711245708313,38.3
P007,2020-08-31,Ble,2.22,4.210822201061074,51.2
P007,2020-09-30,Ble,2.84,4.397933156413833,63.7
P007,2020-10-31,Ble,3.45,4.585044111766594,76.7
P007,2020-11-30,Ble,4.4,4.772155067119354,89.2
P007,2020-12-31,Ble,4.78,4.959266022472114,100.0
P007,2021-01-31,Ble,4.76,4.959266022472114,100.0
P007,2021-02-28,Ble,5.74,4.959266022472114,100.0
P007,2021-03-31,Ble,5.91,4.959266022472114,100.0
P007,2021-04-30,Tournesol,0.0,4.668597208417172,0.0
P007,2021-05-31,Tournesol,0.64,4.377928394362228,20.7
P007,2021-06-30,Tournesol,1.37,4.087259580307285,40.7
P007,2021-07-31,Tournesol,1.72,3.7965907662523426,61.3
P007,2021-08-31,Tournesol,2.33,3.5059219521973994,82.0
P007,2021-09-30,Tournesol,2.87,3.2152531381424563,100.0
P007,2021-10-31,Tournesol,2.99,3.2152531381424563,100.0
P007,2021-11-30,Tournesol,2.82,3.2152531381424563,100.0
P007,2021-12-31,Tournesol,3.25,3.2152531381424563,100.0
P007,2022-01-31,Tournesol,3.32,3.2152531381424563,100.0
P007,2022-02-28,Tournesol,3.6,3.2152531381424563,100.0
P007,2022-03-31,Mais,0.0,3.246359174049911,0.0
P007,2022-04-30,Mais,0.0,3.2774652099573656,0.0
P007,2022-05-31,Mais,1.72,3.30857124586482,17.2
P007,2022-06-30,Mais,3.65,3.3396772817722744,33.9
P007,2022-07-31,Mais,4.93,3.370783317679729,51.1
P007,2022-08-31,Mais,5.54,3.4018893535871837,68.3
P007,2022-09-30,Mais,6.74,3.4329953894946383,85.0
P007,2022-10-31,Mais,0.0,3.464101425402093,0.0
P007,2022-11-30,Mais,1.53,3.4952074613095476,16.7
P007,2022-12-31,Mais,2.82,3.526313497217002,33.9
P007,2023-01-31,Mais,4.4,3.5574195331244565,51.1
P007,2023-02-28,Mais,6.53,3.588525569031911,66.7
P007,2023-03-31,Ble,0.0,3.6196316049393658,0.0
P007,2023-04-30,Tournesol,0.0,3.6507376408468204,0.0
P007,2023-05-31,Tournesol,0.85,3.681843676754275,20.7
P007,2023-06-30,Tournesol,1.59,3.7129497126617297,40.7
P007,2023-07-31,Tournesol,2.24,3.744055748569184,61.3
P007,2023-08-31,Tournesol,3.12,3.7751617844766385,82.0
P007,2023-09-30,Tournesol,3.14,3.806267820384093,100.0
P007,2023-10-31,Tournesol,0.0,3.7074059947973232,0.0
P007,2023-11-30,Tournesol,0.69,3.6085441692105533,20.0
P007,2023-12-31,Tournesol,1.47,3.5096823436237834,40.7
P007,2024-01-31,Tournesol,2.34,3.4108205180370135,61.3
P007,2024-02-29,Tournesol,3.34,3.3119586924502435,80.7
P007,2024-03-31,Ble,0.0,3.2130968668634736,0.0
P007,2024-04-30,Tournesol,0.0,3.1142350412767037,0.0
P007,2024-05-31,Tournesol,0.57,3.0153732156899338,20.7
P007,2024-06-30,Tournesol,1.12,2.916511390103164,40.7
P007,2024-07-31,Tournesol,1.55,2.817649564516394,61.3
P007,2024-08-31,Tournesol,1.88,2.718787738929624,82.0
P007,2024-09-30,Tournesol,2.3,2.619925913342854,100.0
P007,2024-10-31,Tournesol,2.5,2.619925913342854,100.0
P007,2024-11-30,Tournesol,2.57,2.619925913342854,100.0
P007,2024-12-31,Tournesol,2.93,2.619925913342854,100.0
P008,2020-01-31,Ble,0.0,2.6604154075198427,0.0
P008,2020-02-29,Ble,0.72,2.7009049016968314,12.1
P008,2020-03-31,Tournesol,0.0,2.74139439587382,0.0
P008,2020-04-30,Mais,0.0,2.7818838900508087,0.0
P008,2020-05-31,Mais,1.3,2.822373384227797,17.2
P008,2020-06-30,Mais,2.62,2.8628628784047856,33.9
P008,2020-07-31,Mais,3.81,2.9033523725817743,51.1
P008,2020-08-31,Mais,4.75,2.943841866758763,68.3
P008,2020-09-30,Mais,5.57,2.9843313609357516,85.0
P008,2020-10-31,Tournesol,0.0,3.0248208551127402,0.0
P008,2020-11-30,Tournesol,0.51,3.065310349289729,20.0
P008,2020-12-31,Tournesol,0.96,3.105799843466717,40.7
P008,2021-01-31,Tournesol,1.72,3.146289337643706,61.3
P008,2021-02-28,Tournesol,2.25,3.1867788318206944,80.0
P008,2021-03-31,Mais,0.0,3.227268325997683,0.0
P008,2021-04-30,Ble,0.0,3.2677578201746718,0.0
P008,2021-05-31,Ble,0.87,3.3082473143516604,12.9
P008,2021-06-30,Ble,1.59,3.348736808528649,25.4
P008,2021-07-31,Ble,2.23,3.3892263027056373,38.3
P008,2021-08-31,Ble,2.88,3.4297157968826264,51.2
P008,2021-09-30,Ble,3.59,3.4702052910596146,63.7
P008,2021-10-31,Mais,0.0,3.5106947852366033,0.0
P008,2021-11-30,Mais,1.27,3.551184279413592,16.7
P008,2021-12-31,Mais,2.47,3.5916737735905806,33.9
P008,2022-01-31,Mais,4.01,3.6321632677675693,51.1
P008,2022-02-28,Mais,5.23,3.672652761944558,66.7
P008,2022-03-31,Tournesol,0.0,3.7131422561215466,0.0
P008,2022-04-30,Tournesol,0.93,3.753631750298535,20.0
P008,2022-05-31,Tournesol,1.71,3.794121244475524,40.7
P008,2022-06-30,Tournesol,2.46,3.834610738652512,60.7
P008,2022-07-31,Tournesol,3.11,3.875100232829501,81.3
P008,2022-08-31,Tournesol,3.54,3.9155897270064894,100.0
